paper,topic,year,marks,question_text
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2025,,Mahatma Jotirao Phule’s writings and efforts of social reforms touched issues of almost all subaltern classes. Discuss.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2025,,The ethos of civil service in India stand for the combination of professionalism with nationalistic consciousness – Elucidate.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2023,10,What was the difference between Mahatma Gandhi and Rabindranath Tagore in their approach towards education and nationalism?
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2023,15,How did the colonial rule affect the tribals in India and what was the tribal response to the colonial oppression?
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2022,10,Why was there a sudden spurt in famines in colonial India since the mid-eighteenth century? Give reasons.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2021,,To what extent did the role of the moderates prepare a base for the wider freedom movement? Comment.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2021,,Bring out the constructive programmes of Mahatma Gandhi during NonCooperation Movement and Civil Disobedience Movement.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2020,,Evaluate the policies of Lord Curzon and their long-term implications on the national movements.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2020,,"Since the decade of the 1920s, the national movement acquired various ideological strands and thereby expanded its social base. Discuss."
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2019,,The 1857 Uprising was the culmination the recurrent big and small local rebellions that had occurred in the preceding hundred years of British rule. Elucidate.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2019,,Examine the linkages between 19th centuries ‘Indian Renaissance’ and the emergence of national identity.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2019,,Many voices had strengthened and enriched the nationalist movement during the Gandhian phase. Elaborate.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2019,,Assess the role of British imperial power in complicating the process of transfer of power during the 1940s.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2018,,Throw light on the significance of the thoughts of Mahatma Gandhi in the present times.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2017,,Clarify how mid-eighteenth-century India was beset with the spectre of a fragmented polity.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2017,,Why did the ‘Moderates’ fail to carry conviction with the nation about their proclaimed ideology and political goals by the end of the nineteenth century?
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2017,,Examine how the decline of traditional artisanal industry in colonial India crippled the rural economy.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2017,,The women’s questions arose in modern India as a part of the 19th century social reform movement. What were the major issues and debates concerning women in that period?
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2017,,Highlight the importance of the new objectives that got added to the vision of Indian independence since twenties of the last century.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2016,,Explain how the Uprising of 1857 constitutes an important watershed in the evolution of British policies towards colonial India.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2016,,Discuss the role of women in the freedom struggle especially during the Gandhian phase.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2016,,Highlight the differences in the approach of Subhash Chandra Bose and Mahatma Gandhi in the struggle for freedom.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2015,,How different would have been the achievement of Indian independence without Mahatma Gandhi? Discuss.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2015,,"It would have been difficult for the Constituent Assembly to complete its historic task of drafting the Constitution for Independent India in just three years but for the experience gained with the Government of India Act, 1935. Discuss."
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2014,,The third battle of Panipat was fought in 1761. Why were so many empireshaking battles fought at Panipat?
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2014,,Examine critically the various facets of economic policies of the British in India from mid-eighteenth century till independence.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2014,,In what ways did the naval mutiny prove to be the last nail in the coffin of British colonial aspirations in India?
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2013,,"Defying the barriers of age, gender and religion, the Indian women became the torch bearer during the struggle for freedom in India. Discuss."
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2013,,Several foreigners made India their homeland and participated in various movements. Analyze their role in the Indian struggle for freedom.
GS1,"MODERN INDIAN HISTORY FROM ABOUT THE MIDDLE OF THE EIGHTEENTH CENTURY UNTIL THE PRESENT- SIGNIFICANT EVENTS, PERSONALITIES, ISSUES; THE FREEDOM STRUGGLE – ITS VARIOUS STAGES AND IMPORTANT CONTRIBUTORS / CONTRIBUTIONS FROM DIFFERENT PARTS OF THE COUNTRY.",2013,,"In many ways, Lord Dalhousie was the founder of modern India. Elaborate."
GS1,POST-INDEPENDENCE CONSOLIDATION AND REORGANIZATION WITHIN THE COUNTRY.,2025,,"Trace India’s consolidation process during early phase of independence in terms of polity, economy, education and international relations."
GS1,POST-INDEPENDENCE CONSOLIDATION AND REORGANIZATION WITHIN THE COUNTRY.,2022,15,The political and administrative reorganization of states and territories has been a continuous ongoing process since the mid-nineteenth century. Discuss with examples.
GS1,POST-INDEPENDENCE CONSOLIDATION AND REORGANIZATION WITHIN THE COUNTRY.,2013,,Critically discuss the objectives of Bhoodan and Gramdan movements initiated by Acharya Vinoba Bhave and their success.
GS1,POST-INDEPENDENCE CONSOLIDATION AND REORGANIZATION WITHIN THE COUNTRY.,2013,,Write a critical note on the evolution and significance of the slogan “Jai Jawana Jai Kisan”.
GS1,POST-INDEPENDENCE CONSOLIDATION AND REORGANIZATION WITHIN THE COUNTRY.,2013,,Discuss the contribution of Maulana Abul Kalam Azad to pre-and post-independent India.
GS1,POST-INDEPENDENCE CONSOLIDATION AND REORGANIZATION WITHIN THE COUNTRY.,2013,,Analyze the circumstances that led to Tashkent Agreement in 1966. Discuss the highlights of the agreement.
GS1,POST-INDEPENDENCE CONSOLIDATION AND REORGANIZATION WITHIN THE COUNTRY.,2013,,Critically examine the compulsions which prompted India to play a decisive roles in the emergence of Bangladesh.
GS1,POST-INDEPENDENCE CONSOLIDATION AND REORGANIZATION WITHIN THE COUNTRY.,,,Assess the main administrative issues and socio-cultural problems in the integration process of Indian Princely States.
GS1,"HISTORY OF THE WORLD WILL INCLUDE EVENTS FROM 18TH CENTURY SUCH AS INDUSTRIAL REVOLUTION, WORLD WARS, REDRAW OF NATIONAL BOUNDARIES, COLONIZATION, DECOLONIZATION, POLITICAL PHILOSOPHIES LIKE COMMUNISM, CAPITALISM, SOCIALISM ETC.- THEIR FORMS AND EFFECT ON THE SOCIETY.",2025,,The French Revolution has enduring relevance to the contemporary world. Explain.
GS1,"HISTORY OF THE WORLD WILL INCLUDE EVENTS FROM 18TH CENTURY SUCH AS INDUSTRIAL REVOLUTION, WORLD WARS, REDRAW OF NATIONAL BOUNDARIES, COLONIZATION, DECOLONIZATION, POLITICAL PHILOSOPHIES LIKE COMMUNISM, CAPITALISM, SOCIALISM ETC.- THEIR FORMS AND EFFECT ON THE SOCIETY.",2023,10,Bring out the socio-economic effects of the introduction of railways in different countries of the world.
GS1,"HISTORY OF THE WORLD WILL INCLUDE EVENTS FROM 18TH CENTURY SUCH AS INDUSTRIAL REVOLUTION, WORLD WARS, REDRAW OF NATIONAL BOUNDARIES, COLONIZATION, DECOLONIZATION, POLITICAL PHILOSOPHIES LIKE COMMUNISM, CAPITALISM, SOCIALISM ETC.- THEIR FORMS AND EFFECT ON THE SOCIETY.",2019,,Explain how the foundations of the modern world were laid by the American and French revolution.
GS1,"HISTORY OF THE WORLD WILL INCLUDE EVENTS FROM 18TH CENTURY SUCH AS INDUSTRIAL REVOLUTION, WORLD WARS, REDRAW OF NATIONAL BOUNDARIES, COLONIZATION, DECOLONIZATION, POLITICAL PHILOSOPHIES LIKE COMMUNISM, CAPITALISM, SOCIALISM ETC.- THEIR FORMS AND EFFECT ON THE SOCIETY.",,,Why indentured labour was taken by the British from India to other colonies? Have they been able to preserve their cultural identity over there?
GS1,"HISTORY OF THE WORLD WILL INCLUDE EVENTS FROM 18TH CENTURY SUCH AS INDUSTRIAL REVOLUTION, WORLD WARS, REDRAW OF NATIONAL BOUNDARIES, COLONIZATION, DECOLONIZATION, POLITICAL PHILOSOPHIES LIKE COMMUNISM, CAPITALISM, SOCIALISM ETC.- THEIR FORMS AND EFFECT ON THE SOCIETY.",2017,,What problems were germane to the decolonization process of Malay Peninsula.
GS1,"HISTORY OF THE WORLD WILL INCLUDE EVENTS FROM 18TH CENTURY SUCH AS INDUSTRIAL REVOLUTION, WORLD WARS, REDRAW OF NATIONAL BOUNDARIES, COLONIZATION, DECOLONIZATION, POLITICAL PHILOSOPHIES LIKE COMMUNISM, CAPITALISM, SOCIALISM ETC.- THEIR FORMS AND EFFECT ON THE SOCIETY.",2016,,The anti-colonial struggles in West Africa were led by the new elite of Western educated Africans. Examine.
GS1,"HISTORY OF THE WORLD WILL INCLUDE EVENTS FROM 18TH CENTURY SUCH AS INDUSTRIAL REVOLUTION, WORLD WARS, REDRAW OF NATIONAL BOUNDARIES, COLONIZATION, DECOLONIZATION, POLITICAL PHILOSOPHIES LIKE COMMUNISM, CAPITALISM, SOCIALISM ETC.- THEIR FORMS AND EFFECT ON THE SOCIETY.",2015,,Why did the industrial revolution first occur in England? Discuss the quality of life of the people there during the industrialization. How does it compare with that in India at present?
GS1,"HISTORY OF THE WORLD WILL INCLUDE EVENTS FROM 18TH CENTURY SUCH AS INDUSTRIAL REVOLUTION, WORLD WARS, REDRAW OF NATIONAL BOUNDARIES, COLONIZATION, DECOLONIZATION, POLITICAL PHILOSOPHIES LIKE COMMUNISM, CAPITALISM, SOCIALISM ETC.- THEIR FORMS AND EFFECT ON THE SOCIETY.",2015,,To what extent can Germany be held responsible for causing the two World Wars? Discuss critically.
GS1,"HISTORY OF THE WORLD WILL INCLUDE EVENTS FROM 18TH CENTURY SUCH AS INDUSTRIAL REVOLUTION, WORLD WARS, REDRAW OF NATIONAL BOUNDARIES, COLONIZATION, DECOLONIZATION, POLITICAL PHILOSOPHIES LIKE COMMUNISM, CAPITALISM, SOCIALISM ETC.- THEIR FORMS AND EFFECT ON THE SOCIETY.",2014,,"What were the major political, economic and social developments in the world which motivated the anti-colonial struggle in India?"
GS1,"HISTORY OF THE WORLD WILL INCLUDE EVENTS FROM 18TH CENTURY SUCH AS INDUSTRIAL REVOLUTION, WORLD WARS, REDRAW OF NATIONAL BOUNDARIES, COLONIZATION, DECOLONIZATION, POLITICAL PHILOSOPHIES LIKE COMMUNISM, CAPITALISM, SOCIALISM ETC.- THEIR FORMS AND EFFECT ON THE SOCIETY.",2014,,What were the events that led to the Suez Crisis in 1956? How did it deal a final blow to Britain’s self-image as a world power?
